Position(bp)	Rate(cM/Mb)	Map(cM)
17288200	0.395910	2.167049
17288220	0.395852	2.167057
17288377	0.395631	2.167119
17288988	0.395665	2.167361
17289118	0.396385	2.167412
17290010	0.399988	2.167766
17290674	0.406250	2.168031
17291543	0.408018	2.168384
17293143	0.436385	2.169037
17294251	1.241365	2.169521
17294997	0.338444	2.170447
17295117	0.341499	2.170487
17295703	0.333047	2.170687
17295764	0.333580	2.170708
17296235	0.374912	2.170865
17296426	0.446549	2.170936
17296700	0.370267	2.171059
17296720	0.299400	2.171066
17299033	0.278909	2.171759
17299261	0.278822	2.171822
17300320	0.272987	2.172118
17301217	0.271106	2.172362
17301843	0.269180	2.172532
17302458	0.269109	2.172698
17303596	0.268627	2.173004
17304132	0.275478	2.173148
17304246	0.284447	2.173179
17304887	2.097177	2.173362
17305777	1.684722	2.175228
17306104	0.900725	2.175779
17306184	0.420784	2.175851
17307742	0.371263	2.176507
17308241	0.366063	2.176692
17309296	0.377720	2.177078
17309362	0.377205	2.177103
17309517	0.423733	2.177161
17309555	0.480845	2.177178
17309881	0.474856	2.177334
17310488	0.617488	2.177623
17310741	0.881779	2.177779
17311027	1.238266	2.178031
17312596	15.916522	2.179974
17313288	0.716208	2.190988
17313798	0.715977	2.191353
17313872	0.715734	2.191406
17314151	0.715314	2.191606
17314977	0.714880	2.192197
17315102	0.715065	2.192286
17315458	0.715359	2.192541
17315503	0.746746	2.192573
17315621	6.442058	2.192661
17316313	0.862549	2.197119
17316555	0.695888	2.197328
17317062	0.706513	2.197681
17317100	0.720548	2.197707
17317233	1.081851	2.197803
17317346	1.533971	2.197925
17318150	0.751660	2.199159
17318333	0.937991	2.199296
17318367	1.154490	2.199328
17318682	1.153357	2.199692
17319156	0.650030	2.200239
17320361	0.762939	2.201022
17321768	0.765968	2.202095
17323243	0.771403	2.203225
17323853	0.761781	2.203696
17324383	0.695293	2.204099
17324504	0.503523	2.204184
17325148	0.388721	2.204508
17326181	0.389379	2.204909
17326432	0.391627	2.205007
17326550	0.391556	2.205053
17326668	0.390750	2.205100
17326914	0.381836	2.205196
17327157	0.364713	2.205288
17327181	0.350357	2.205297
17327595	0.342868	2.205442
17327712	0.336484	2.205482
17328627	0.333987	2.205790
17329355	0.331877	2.206033
17329601	0.327630	2.206115
17330409	0.328354	2.206380
17331020	0.432056	2.206580
17331656	0.424504	2.206855
17332664	0.404809	2.207283
17332915	0.404296	2.207385
17334052	0.323419	2.207844
17337527	0.320513	2.208968
17338134	0.330676	2.209163
17338286	0.301568	2.209213
17338446	0.301255	2.209261
17339003	0.296124	2.209429
17339040	0.290520	2.209440
17339129	0.290651	2.209466
17340077	0.301534	2.209741
17340419	0.309475	2.209845
17340639	0.317862	2.209913
17340798	0.324099	2.209963
17340906	0.327638	2.209998
17341904	0.331970	2.210325
17342240	0.340242	2.210437
17342480	0.358143	2.210518
17343037	0.425827	2.210718
17344500	0.464965	2.211341
17344949	0.473669	2.211550
17345122	0.950694	2.211632
17346384	4.747589	2.212831
17346544	5.984135	2.213591
17347348	5.983758	2.218402
17347460	5.987948	2.219072
17352097	6.772593	2.246838
17353947	7.822971	2.259368
17362289	8.052200	2.324627
17371336	5.352912	2.397475
17372135	4.750820	2.401752
17387645	4.124490	2.475437
17389912	2.201721	2.484788
17393020	1.468360	2.491631
17393239	1.070933	2.491952
17393451	1.076880	2.492179
17393876	1.070373	2.492637
17394989	1.905604	2.493828
17395434	2.646731	2.494676
17395610	3.476114	2.495142
17395724	3.078257	2.495538
17395974	3.178615	2.496308
17396459	3.216074	2.497850
17396465	3.147036	2.497869
17396612	3.110847	2.498331
17396613	3.134186	2.498335
17396966	2.376531	2.499441
17397875	2.085234	2.501601
17398508	2.082465	2.502921
17398800	2.049429	2.503529
17398812	2.016978	2.503554
17399211	1.951515	2.504359
17399588	1.057604	2.505094
17401834	0.998787	2.507470
17402322	0.992721	2.507957
17402459	0.989762	2.508093
17403936	0.993417	2.509555
17404911	0.993808	2.510524
17405173	0.993722	2.510784
17405330	0.991614	2.510940
17405698	0.992240	2.511305
17406065	0.992772	2.511669
17407349	1.004199	2.512944
17407566	1.011773	2.513162
17408116	0.977556	2.513718
17408859	0.929830	2.514444
17409897	0.919754	2.515410
17409957	0.912303	2.515465
17410128	0.905952	2.515621
17410373	0.900348	2.515843
17410790	0.893492	2.516218
17411899	0.903680	2.517209
17412168	17.597372	2.517452
17412216	48.608898	2.518297
17412682	48.608898	2.540949
17412806	48.608898	2.546976
17413554	42.623543	2.583336
17413595	2.217515	2.585083
17414103	2.148924	2.586210
17414162	2.154590	2.586336
17414385	2.184049	2.586817
17414640	2.240732	2.587374
17414892	2.244360	2.587938
17415490	2.197931	2.589281
17415572	1.938630	2.589461
17415956	1.009339	2.590205
17416219	0.662439	2.590471
17417742	0.145388	2.591480
17419338	0.145388	2.591712
17420578	0.142879	2.591892
17421989	0.142877	2.592094
17423930	0.142877	2.592371
17426401	0.147858	2.592724
17426417	0.151308	2.592726
17427037	0.198980	2.592820
17427664	0.949827	2.592945
17428080	1.912444	2.593340
17428123	2.309727	2.593422
17428815	3.645158	2.595021
17428982	3.811278	2.595629
17429384	3.044349	2.597161
17429434	1.645500	2.597314
17429893	1.000337	2.598069
17430040	0.390556	2.598216
17430931	0.380424	2.598564
17432482	0.382915	2.599154
17433210	0.609779	2.599433
17433221	0.830408	2.599439
17433888	0.830801	2.599993
17434084	0.769952	2.600156
17434253	0.611288	2.600286
17434521	0.480319	2.600450
17434924	0.448049	2.600644
17435034	0.448461	2.600693
17436627	0.448108	2.601407
17436762	0.442156	2.601468
17436846	0.434460	2.601505
17437310	0.420200	2.601707
17437483	0.407101	2.601779
17437500	0.392592	2.601786
17437617	0.390207	2.601832
17437681	0.375230	2.601857
17438737	0.365552	2.602253
17438982	0.365262	2.602343
17440953	0.503016	2.603063
17441303	0.562955	2.603239
17441449	0.903032	2.603321
17441524	1.237503	2.603389
17441525	1.334236	2.603390
17442154	1.349466	2.604229
17442206	1.353406	2.604299
17442223	1.356468	2.604322
17442739	1.220471	2.605022
17442987	0.851049	2.605325
17443131	0.689015	2.605448
17443179	0.631626	2.605481
17443238	0.551117	2.605518
17443263	0.469156	2.605532
17443381	0.409169	2.605587
17445502	0.332803	2.606455
17446157	0.332563	2.606673
17446825	0.331446	2.606895
17446914	0.320681	2.606925
17446991	0.309904	2.606949
17448143	0.309691	2.607306
17448404	0.310411	2.607387
17449115	0.322009	2.607608
17450515	0.439131	2.608059
17450538	0.439703	2.608069
17451185	0.448060	2.608353
17451710	0.452892	2.608588
17451854	0.455652	2.608654
17451966	0.456769	2.608705
17452925	0.467249	2.609143
17452966	0.466469	2.609162
17453956	0.455742	2.609624
17454486	0.465910	2.609865
17454695	0.536032	2.609963
17454945	0.731211	2.610097
17455391	0.756513	2.610423
17456773	0.213639	2.611468
17457276	0.094872	2.611576
17462185	0.091971	2.612041
17463189	0.371713	2.612134
17464029	0.371678	2.612446
17465108	0.208610	2.612847
17465175	0.087337	2.612861
17466249	0.086462	2.612955
17466491	0.085458	2.612976
17466783	0.085576	2.613001
17466918	0.085709	2.613012
17467073	0.085667	2.613026
17467411	0.086197	2.613055
17467474	0.086293	2.613060
17467684	0.086930	2.613078
17467823	0.087277	2.613090
17469026	5.435349	2.613195
17469310	0.360294	2.614739
17469558	0.360294	2.614828
17470779	0.387852	2.615268
17471354	0.441190	2.615491
17471369	0.491416	2.615498
17472032	0.505671	2.615824
17472071	0.507535	2.615843
17472239	0.507535	2.615928
17473229	0.380158	2.616431
17474689	0.304389	2.616986
17474812	0.221340	2.617023
17475014	0.220354	2.617068
17475191	0.220354	2.617107
17475654	0.217876	2.617209
17475921	0.198389	2.617267
17476064	0.195980	2.617296
17488195	0.386077	2.619673
17488430	3.709367	2.619764
17488669	4.448985	2.620650
17488727	6.544529	2.620908
17489300	33.237421	2.624658
17489546	33.733199	2.632835
17489577	34.224832	2.633881
17489890	34.261808	2.644593
17490932	6.802650	2.680294
17491584	6.091089	2.684729
17492203	6.272325	2.688499
17492452	22.475174	2.690061
17492533	27.144584	2.691882
17493182	36.287737	2.709499
17493293	44.132225	2.713527
17493431	44.856093	2.719617
17493520	44.851041	2.723609
17493708	38.842338	2.732041
17493720	34.797372	2.732507
17493792	34.709763	2.735013
17494101	34.623903	2.745738
17494547	1.596458	2.761180
17495145	1.581420	2.762135
17499890	0.735312	2.769639
17500036	0.352819	2.769746
17500417	0.314440	2.769880
17501980	0.315533	2.770372
17502191	0.317994	2.770438
17504047	0.403852	2.771029
17504945	0.499486	2.771391
17513703	0.485649	2.775766
17514372	0.480377	2.776091
17517298	0.435013	2.777496
17519579	0.228662	2.778489
17520850	0.204666	2.778779
17522807	0.122318	2.779180
17523190	0.123278	2.779227
17524190	2.551370	2.779350
17524203	3.286984	2.779383
17524569	0.058103	2.780586
17524728	0.055442	2.780595
17525355	0.053891	2.780630
17525525	0.052841	2.780639
17525584	0.052083	2.780642
17525610	0.051631	2.780644
17525970	0.051580	2.780662
17526055	0.051561	2.780667
17526489	0.051561	2.780689
17526532	0.051561	2.780691
17527063	0.051561	2.780719
17527495	0.051671	2.780741
17527847	0.051876	2.780759
17529500	0.053378	2.780845
17529583	0.053379	2.780849
17529814	0.055146	2.780862
17530370	0.340541	2.780892
17531732	0.344479	2.781356
17532449	0.067354	2.781603
17532554	0.058189	2.781610
17532889	0.060178	2.781630
17533056	0.061775	2.781640
17533396	0.061775	2.781661
17534726	0.061775	2.781743
17535124	0.061775	2.781767
17535220	0.061775	2.781773
17535520	0.061775	2.781792
17536016	0.061775	2.781823
17536145	0.061775	2.781830
17536181	0.100844	2.781833
17536391	0.065251	2.781854
17536470	0.065251	2.781859
17536555	0.065251	2.781865
17537530	0.065251	2.781928
17537830	0.065251	2.781948
17538439	0.066752	2.781988
17538808	0.066752	2.782012
17538980	0.067442	2.782024
17539129	0.067442	2.782034
17539439	0.067442	2.782055
17539544	0.069222	2.782062
17539625	0.069905	2.782067
17539678	0.069799	2.782071
17541673	0.070604	2.782210
17541858	0.070992	2.782223
17542650	0.071759	2.782280
17543048	0.071759	2.782308
17543482	0.070891	2.782339
17544834	0.068800	2.782435
17545859	0.068061	2.782506
17548971	0.068151	2.782717
17549526	0.077354	2.782755
17550418	0.229468	2.782824
17553198	0.302056	2.783462
17554354	0.076330	2.783811
17554915	0.077976	2.783854
17557144	0.175603	2.784028
17557308	0.175412	2.784057
17561513	0.284920	2.784794
17561913	0.284634	2.784908
17564907	0.297467	2.785761
17565013	0.555698	2.785792
17565035	0.833562	2.785804
17565932	1.147314	2.786552
17566206	1.231293	2.786866
17566504	1.107469	2.787233
17567699	1.390702	2.788557
17567807	2.660985	2.788707
17571355	23.697386	2.798148
17571604	23.740070	2.804049
17572941	23.700196	2.835789
17575800	24.353344	2.903548
17580394	46.837610	3.015427
17580813	46.839366	3.035052
17581838	46.830877	3.083063
17582776	5.106012	3.126990
17582877	3.365686	3.127506
17585441	3.366340	3.136135
17585808	3.366821	3.137371
17586471	3.367540	3.139603
17587680	3.368881	3.143674
17587975	3.370564	3.144668
17588305	2.602981	3.145780
17589246	1.551755	3.148230
17589297	1.535676	3.148309
17589567	1.251060	3.148724
17591089	1.244165	3.150628
17591823	1.236596	3.151541
17593685	1.178131	3.153843
17594886	1.330052	3.155258
17594915	1.504072	3.155297
17595070	1.906903	3.155530
17595746	1.881212	3.156819
17595915	1.847933	3.157137
17596178	1.775188	3.157623
17596229	1.721984	3.157714
17596388	1.679076	3.157987
17597297	1.649067	3.159514
17597462	1.656105	3.159786
17599170	1.740869	3.162614
17599844	1.746449	3.163788
17599860	1.747294	3.163816
17600497	1.641642	3.164929
17603340	1.655245	3.169596
17603801	1.539264	3.170359
17604471	1.531516	3.171390
17605824	1.420891	3.173462
17607894	1.409789	3.176404
17609825	1.410578	3.179126
17609839	1.414550	3.179146
17611515	1.406377	3.181517
17612744	1.197059	3.183245
17612750	1.001515	3.183252
17612815	0.836611	3.183317
17614011	0.840063	3.184318
17615213	1.087448	3.185328
17615234	1.086463	3.185350
17615372	1.481242	3.185500
17616151	1.487512	3.186654
17616217	1.491491	3.186752
17616510	1.497246	3.187189
17618142	1.513395	3.189633
17618164	1.537536	3.189666
17619076	1.551272	3.191068
17619292	1.568669	3.191404
17619716	1.574532	3.192069
17620130	1.559635	3.192721
17621704	1.552082	3.195175
17622267	1.525136	3.196049
17623408	1.495242	3.197789
17624072	1.477222	3.198782
17626236	1.344366	3.201979
17626665	0.951609	3.202556
17630378	0.931483	3.206089
17630486	0.911209	3.206190
17630647	0.911118	3.206336
17631893	0.910710	3.207472
17632202	0.910600	3.207753
17632744	0.911297	3.208247
17632885	0.912116	3.208375
17633669	1.012536	3.209090
17633785	1.178928	3.209208
17634050	1.397829	3.209520
17635858	1.573885	3.212047
17641079	1.552896	3.220264
17643546	1.548545	3.224095
17644131	1.647484	3.225001
17647862	1.772131	3.231148
17648486	1.859544	3.232254
17649774	1.855526	3.234649
17652219	1.862596	3.239186
17653955	1.869700	3.242419
17655388	1.805112	3.245099
17655898	1.661749	3.246019
17656724	1.610295	3.247392
17658006	1.614838	3.249456
17658341	1.615846	3.249997
17660501	1.658787	3.253487
17660556	1.659576	3.253579
17661178	1.680389	3.254611
17661347	1.682820	3.254895
17662163	2.620601	3.256268
17662917	1.928440	3.258244
17663117	1.744520	3.258630
17663240	1.671476	3.258844
17665413	4.448049	3.262476
17666437	12.751382	3.267031
17666702	15.568064	3.270410
17669151	15.716018	3.308536
17669306	15.708055	3.310972
17670224	14.353720	3.325392
17670256	13.145321	3.325852
17670807	13.144520	3.333095
17671042	13.009447	3.336184
17671133	12.951288	3.337368
17674099	13.044887	3.375781
17674117	24.286114	3.376016
17675045	24.286114	3.398553
17675173	24.286114	3.401662
17675324	24.286114	3.405329
17675900	24.215703	3.419318
17676102	13.718793	3.424210
17676590	13.536954	3.430904
17677699	4.176036	3.445917
17678128	4.130978	3.447708
17679312	3.863843	3.452600
17679549	2.362020	3.453515
17680519	1.274743	3.455806
17681849	1.233356	3.457502
17682165	1.221188	3.457892
17682294	1.208935	3.458049
17685194	1.209892	3.461555
17688402	1.221873	3.465436
17690409	1.597884	3.467889
17690430	1.790094	3.467922
17691795	7.007344	3.470366
17692507	13.905466	3.475355
17695703	19.016216	3.519797
17696027	20.510980	3.525958
17697781	20.382491	3.561934
17697861	11.046613	3.563565
17698080	7.755890	3.565984
17698173	1.611750	3.566705
17700284	2.147480	3.570108
17701234	2.044366	3.572148
17702505	2.279256	3.574746
17702662	2.308238	3.575104
17702778	2.224290	3.575372
17702876	2.010166	3.575590
17703572	1.565312	3.576989
17705622	1.536369	3.580198
17705808	1.503076	3.580484
17709828	4.612209	3.586526
17709935	11.089240	3.587019
17710860	19.758932	3.597277
17712142	28.540599	3.622608
17712611	28.965491	3.635994
17713320	28.965491	3.656530
17713378	29.623400	3.658210
17714695	29.623400	3.697224
17715771	29.623400	3.729099
17717841	29.623400	3.790419
17718119	29.617538	3.798655
17718606	29.617538	3.813078
17718911	29.543112	3.822112
17721551	24.965338	3.900105
17721595	22.412513	3.901204
17722024	22.481811	3.910819
17722442	22.861818	3.920216
17722536	23.243333	3.922365
17722885	25.354384	3.930477
17722982	25.354384	3.932937
17723174	25.806806	3.937805
17723950	25.806806	3.957831
17724049	27.065944	3.960386
17724093	30.028941	3.961577
17724167	32.068781	3.963799
17724663	32.068781	3.979705
17724829	32.068781	3.985028
17724936	32.068781	3.988460
17725046	32.068781	3.991987
17725150	32.068781	3.995322
17725209	32.068781	3.997214
17725764	32.058880	4.015013
17726469	22.247094	4.037614
17727125	22.153050	4.052208
17727648	22.152563	4.063794
17728832	22.092890	4.090023
17729044	21.907018	4.094706
17731977	21.921154	4.158960
17733896	22.238040	4.201026
17735191	28.761067	4.229825
17735654	28.761067	4.243141
17736410	29.532012	4.264884
17738100	28.930579	4.314794
17738177	28.335536	4.317021
17741737	14.804963	4.417896
17742368	14.804963	4.427238
17742515	14.804963	4.429414
17743228	15.513800	4.439970
17743426	15.542581	4.443042
17744553	15.422422	4.460558
17746101	5.952866	4.484432
17746528	5.901386	4.486974
17747195	5.898612	4.490910
17748737	5.907799	4.500006
17749096	5.677998	4.502127
17750525	5.679875	4.510241
17751168	2.779455	4.513893
17758677	2.667649	4.534764
17759549	2.657079	4.537090
17760350	2.636896	4.539218
17761425	2.634001	4.542053
17762536	2.646782	4.544979
17762736	3.554186	4.545509
17763180	5.050017	4.547087
17763868	5.093589	4.550561
17764482	5.111431	4.553689
17765505	5.175782	4.558918
17766115	6.665798	4.562075
17766437	8.759165	4.564221
17766937	11.020597	4.568601
17768221	11.020597	4.582751
17768417	11.019617	4.584911
17768521	11.016134	4.586057
17769065	10.998311	4.592050
17769317	10.911261	4.594822
17769687	10.898107	4.598859
17770181	6.442421	4.604242
17771164	4.457927	4.610575
17773764	4.421295	4.622166
17781035	5.629218	4.654313
17781555	6.570343	4.657240
17782012	6.616882	4.660243
17782813	5.884677	4.665543
17783912	4.908500	4.672010
17783923	4.046845	4.672064
17783945	3.132682	4.672153
17784602	2.865744	4.674212
17784977	2.868790	4.675286
17785199	2.295719	4.675923
17785224	1.725961	4.675980
17785300	1.726630	4.676112
17788722	1.721766	4.682020
17789010	1.717636	4.682516
17790349	1.720898	4.684816
17790593	1.738105	4.685236
17790731	1.763920	4.685476
17791564	18.690928	4.686945
17792740	18.712736	4.708926
17793012	18.712736	4.714015
17793206	18.712736	4.717646
17795408	18.381291	4.758851
17796971	1.945493	4.787581
17797775	1.842225	4.789145
17798800	1.843882	4.791034
17798848	1.860115	4.791122
17799368	3.126366	4.792089
17799387	4.901677	4.792149
17799529	5.019613	4.792845
17799956	4.184837	4.794988
17800472	4.063065	4.797148
17800508	3.756564	4.797294
17800512	3.427473	4.797309
17800757	0.961659	4.798149
17803593	0.962468	4.800876
17803786	0.964089	4.801062
